Filme,Diretor,Gênero
Mulheres à beira de um ataque de nervos,Pedro Almodóvar,Comédia
O turista acidental,Lawrence Kasdam,Drama
Os safados,Frank Oz,Comédia
Rain man,Barry Levinson,Drama
Túmulo dos Vagalumes,Isao Takahata,Animação
A Princesa Prometida,Rob Reiner,Aventura
Amazonas na lua,Joe Dante,Comédia
Asas do desejo,Win Wenders,Drama
Atração fatal,Adrian Lyne,Suspense
Coração satânico,Allan Parker,Drama
Hellraiser: renascido do inferno,Clive Barker,Terror
Homens de preto,Barry Sonnenfeld,Ficção
Inimigo íntimo,Alan Pakula,Drama
Nascido Para Matar,Stanley Kubrick,Guerra
O último imperador,Bernardo Bertolucci,Drama
Os intocáveis,Brian de Palma,Policial
RoboCop 1987,Paul Verhoeven,Policial
A missão,Roland Joffé,Drama
"Aliens, O Resgate",James Cameron,Ficção
Betty Blue,Jean-Jacques Beineix,Drama
Conta comigo,Rob Reiner,Drama
Curtindo a vida adoidado,John Huges,Comédia
Hannah e suas irmãs,Woody Allen,Drama
O bandido da luz vermelha,Rogério Sganzerla,Policial
O declínio do império americano,Denys Arcand,Drama
Os bons companheiros,Martin Scorsese,Drama
Platoon,Oliver Stone,Guerra
Brazil o filme,Terry Gilliam,Ficção
De volta para o futuro,Robert Zemeckis,Ficção
Depois de horas,Martin Scorsese,Comédia
Entre Dois Amores,Sydney Pollack,Drama
Nashville,Robert Altmann,Musical
Os Caçadores da Arca Perdida,Steven Spielberg,Aventura
Ran,Akira Kurosawa,Drama
Silverado,Lawrence Kasdam,Western
Vá e Veja,Elem Klimov,Guerra
Amadeus,Milos Forman,Drama
Dublê de corpo,Brian de Palma,Suspense
Era uma vez na América,Sergio Leone,Drama
Memórias do cárcere,Nelson Pereira dos Santos,Drama
Nausicaä do Vale do Vento,Hayao Miyazaki,Animação
O exterminador do futuro,James Cameron,Aventura
Os caça-fantasmas,Ivan Reitman,Comédia
"Paris, Texas",Win Wenders,Drama
Passagem para a Índia,David Lean,Drama
Tudo por uma esmeralda,Robert Zemeckis,Aventura
Jogos de guerra,John Badham,Ficção
O Retorno de Jedi,Richard Marquand,Ficção
Scarface,Brian de Palma,Drama
Videodrome - a síndrome do vídeo,David Cronenberg,Ficção
Zelig,Woody Allen,Comédia
A escolha de Sofia,Allan Pakula,Drama
"Blade Runner, o Caçador de Andróides",Ridley Scott,Ficção
"Conan, o bárbaro",John Milius,Aventura
E.T. o extraterrestre,Steven Spielberg,Ficção
Fanny e Alexandre,Ingmar Bergman,Drama
Gandhi,Richard Attenborough,Drama
Laços de Ternura,James L. Brooks,Drama
O barco: inferno no mar,Wolfgang Petersen,Guerra
O Enigma de Outro Mundo,John Carpenter,Terror
Pink Floyd the wall,Allan Parker,Musical
Quinteto irreverente,Mario Monicelli,Comédia
Tootsie,Sidney Pollack,Comédia
A mulher do tenente francês,Karel Reisz,Drama
Carruagens de Fogo,Hugh Hudson,Drama
Cidade das mulheres,Federico Fellini,Drama
Corpos ardentes,Lawrence Kasdam,Drama
Fuga de Nova York,John Carpenter,Ficção
Mephisto,Istvan Szabó,Drama
Num lago dourado,Mark Rydell,Drama
O destino bate à sua porta 1981,Bob Rafelson,Drama
Reds,Warren Beatty,Drama
Um tiro na noite,Brian de Palma,Suspense
Altantic City,Louis Malle,Drama
Apertem os Cintos... O Piloto Sumiu,Jim Abrahams,Comédia
Calígula,Tinto Brass,Drama
Gente como a gente,Robert Redford,Drama
Kagemusha a sombra do samurai,Akira Kurosawa,Drama
Meu tio da América,Alan Resnais,Comédia
O Homem Elefante,David Lynch,Drama
O iluminado,Stanley Kubrick,Terror
O Império Contra-Ataca,Irvin Kershner,Ficção
Os irmãos cara de pau,John Landis,Musical
Pixote a lei do mais fraco,Héctor Babenco,Drama
Touro indomável,Martin Scorsese,Drama
Vestida para matar,Brian de Palma,Suspense
A Vida de Brian,Terry Jones,Comédia
All that jazz,Bob Fosse,Musical
Apocalypse now,Francis Ford Coppola,Guerra
Bye bye Brasil,Cacá Diegues,Comédia
Fuga de Alcatraz,Don Siegel,Policial
Hair,Milos Forman,Musical
Kramer Versus Kramer,Robert Benton,Drama
Manhattan,Woody Allen,Drama
Stalker,Andrei Tarkovsky,Drama
Tess,Roman Polanski,Drama
A gaiola das loucas,Edouard Molinaro,Comédia
Clube dos cafajestes,John Landis,Comédia
Despertar dos mortos,George Romero,Terror
Grease nos tempos da brilhantina,Randal Kleiser,Musical
Halloween,John Carpenter,Terror
Muito além do jardim,Hal Ashby,Comédia
O expresso da meia noite,Alan Parker,Drama
O Franco Atirador,Michael Cimino,Guerra
Contatos imediatos do terceiro grau,Steven Spielberg,Ficção
Guerra nas estrelas,George Lucas,Ficção
Momento de decisão,Herbert Ross,Drama
"Noivo neurótico, noiva nervosa",Woody Allen,Comédia
Os embalos de sábado a noite,John Badham,Drama
A águia pousou,John Sturges,Guerra
A cruz de ferro,Sam Peckimpah,Guerra
"Carrie, a estranha",Brian de Palma,Terror
Casanova de Felini,Federico Fellini,Comédia
"Feios, sujos e malvados",Etore Scola,Comédia
Rede de intrigas,Sidney Lumet,Drama
"Rocky, um Lutador",John Avildsen,Drama
Saló os cento e vinde dias de Sodoma,Pier Paolo Pasolini,Drama
Taxi driver,Martin Scorsese,Drama
Todos os homens do presidente,Alan Pakula,Drama
Barry Lyndon,Stanley Kubrick,Drama
Monty Python em Busca do Cálice Sagrado,Terry Gilliam,Comédia
Sholay,Ramesh Sippy,Aventura
Tubarão,Steven Spielberg,Aventura
Um dia de cão,Sidney Lumet,Drama
Um estranho no ninho,Milos Forman,Drama
A conversação,Francis Ford Coppola,Drama
Banzé no oeste,Mel Brooks,Comédia
Chinatown,Roman Polanski,Policial
O enigma de Kaspar Hauser,Werner Herzog,Drama
O massacre da serra elétrica,Tobe Hooper,Terror
O poderoso chefão II,Francis Ford Coppola,Drama
A noite americana,François Truffaut,Drama
Amarcord,Federico Fellini,Comédia
American graffiti,George Lucas,Comédia
Estado de sítio,Costa Gravas,Drama
Golpe de mestre,George Roy Hill,Comédia
O dia do chacal,Fred Zinnemann,Policial
O exorcista,William Friedkin,Terror
Papillon,Franklin Shaffner,Drama
Aguirre a cólera dos deuses,Werner Herzog,Drama
Amargo pesadelo,John Boorman,Drama
Cabaret,Bob Fosse,Musical
Gritos e sussurros,Ingmar Bergman,Drama
Irmão sol irmã lua,Franco Zeffirelli,Drama
O discreto charme da burguesia,Luis Bunuel,Drama
O poderoso chefão,Francis Ford Coppola,Drama
Último tango em Paris,Bernardo Bertolucci,Drama
A classe operária vai ao paraíso,Elio Petri,Comédia
A última sessão de cinema,Peter Bogdanovich,Drama
Anand,Hrishikesh Mukherjee,Drama
Dirty Harry,Don Siegel,Policial
Laranja mecânica,Stanley Kubrick,Ficção
Operação França,William Friedkin,Policial
Sob o domínio do medo,Sam Peckimpah,Drama
A filha de Ryan,David Lean,Drama
Becket,Peter Glenville,Drama
Colossus,Joseph Sargent,Ficção
Love Story,Arthur Hiller,Drama
M A S H,Robert Altmann,Guerra
O conformista,Bernardo Bertolucci,Drama
"Patton, Rebelde ou Herói?",Franklin Shaffner,Guerra
Vert-te-ei no inferno,Martin Ritt,Drama
Ana dos mil dias,Charles Jarrott,Drama
Butch Cassidy,George Roy Hill,Western
Era uma vez no oeste,Sergio Leone,Western
Meu ódio será sua herança,Sam Peckimpah,Western
Os deuses malditos,Luchino Visconti,Drama
Perdidos na noite,John Schlesinger,Drama
Sem destino,Dennis Hopper,Drama
2001: Uma Odisseia no Espaço,Stanley Kubrick,Ficção
A noite dos mortos vivos,George Romero,Terror
Bullit,Peter Yeats,Policial
O bebê de Rosemary,Roman Polanski,Terror
O leão no inverno,Anthony Harvey,Drama
O planeta dos macacos,Franklin Shaffner,Ficção
Oliver!,Carol Reed,Musical
Um convidado bem trapalhão,Blake Edwards,Comédia
A bela da tarde,Luis Bunuel,Drama
A noite dos generais,Anatoli Litvak,Guerra
A primeira noite de um homem,Mike Nichols,Drama
A sangue frio,Richard Brooks,Drama
Adivinhe quem vem para jantar,Stanley Kramer,Drama
As férias do senhor Hulot,Jacques Tati,Comédia
No calor da noite,Norman Jewison,Drama
Os doze condenados,Robert Aldrich,Guerra
Rebeldia indomável,Stuart Rosenberg,Aventura
Terra em transe,Glauber Rocha,Drama
Uma rajada de balas,Arthur Penn,Policial
Z,Costa Gravas,Drama
A batalha de Argel,Gillo Pentecorvo,Drama
Andrei Rublev,Andrei Tarkovsky,Drama
Blow-up - depois daquele beijo,Michelangelo Antonioni,Drama
Farenheit 451,François Truffaut,Drama
O Homem Que Não Vendeu Sua Alma,Fred Zinnemann,Drama
Quando Duas Mulheres Pecam,Ingmar Bergman,Drama
Quem tem medo de Virginia Woolf?,Mike Nichols,Drama
Três homens em conflito,Sergio Leone,Western
A noviça rebelde,Robert Wise,Musical
Doutor Jivago,David Lean,Drama
Juventude transviada,Nicholas Ray,Drama
O colecionador,William Wyler,Suspense
Por uns dólares a mais,Sergio Leone,Western
Repulsa ao sexo,Roman Polanski,Drama
007 contra Goldfinger,Guy Hamilton,Aventura
Assim caminha a humanidade,George Stevens,Drama
Deus e o diabo na terra do sol,Glauber Rocha,Drama
Doutor Fantástico,Stanley Kubrick,Drama
Minha bela dama,George Cukor,Musical
Por um punhado de dólares,Sergio Leone,Western
8½,Federico Fellini,Drama
A pantera cor de rosa,Blake Edwards,Comédia
Céu e inferno,Akira Kurosawa,Drama
Charada,Stanley Donen,Policial
Cleópatra,Joseph Mankiewicz,Drama
Fugindo do inferno,John Sturges,Guerra
O cardeal,Otto Preminger,Drama
O leopardo,Luchino Visconti,Drama
O professor aloprado,Jerry Lewis,Comédia
Vidas secas,Nelson Pereira dos Santos,Drama
Harakiri,Masaki Kobayashi,Drama
Lawrence da Arábia,David Lean,Drama
O anjo exterminador,Luis Bunuel,Drama
O grande motim 1962,Lewis Milestone,Drama
O homem que matou o facínora,John Ford,Western
O pagador de promessas,Anselmo Duarte,Drama
O processo,Orson Welles,Drama
O Que Aconteceu com Baby Jane?,Robert Aldrich,Drama
O sol é para todos,Robert Mulligan,Drama
Pistoleiros do entardecer,Sam Peckimpah,Western
Sob o domínio do mal,John Frankenheimer,Drama
A noite,Michelangelo Antonioni,Drama
"Amor, sublime amor",Robert Wise,Musical
Bonequinha de luxo,Blake Edwards,Comédia
Julgamento em Nuremberg,Stanley Kramer,Drama
Os canhões de Navarone,J. Lee Tomphson,Guerra
Uma mulher para dois,François Truffaut,Drama
Yojimbo,Akira Kurosawa,Drama
A doce vida,Federico Fellini,Drama
O passado não perdoa,John Huston,Western
Os desajustados,John Huston,Drama
Psicose,Alfred Hitchcok,Suspense
Se meu apartamento falasse,Billy Wilder,Comédia
Sete homens e um destino,John Sturges,Western
Spartacus,Stanley Kubrick,Aventura
Acossado,Jean-Luc Goddard,Drama
Anatomia de um crime,Otto Preminger,Policial
Balada do soldado,Gryigori Chukray,Drama
Ben-Hur,William Wyler,Aventura
Duelo de titãs,John Sturges,Western
Intriga internacional,Alfred Hitchcok,Suspense
O cão dos Baskervilles,Terence Fisher,Suspense
Onde começa o inferno,Howard Hawks,Western
Os bravos morrem em pé,Lewis Milestone,Guerra
Os incompreendidos,François Truffaut,Drama
Quanto mais quente melhor,Billy Wilder,Comédia
A bolha,Irvin S. Yeaworth Jr.,Terror
A condessa descalça,Joseph Mankiewicz,Drama
A marca da maldade,Orson Welles,Drama
A mosca de cabeça branca,Kurt Neumann,Terror
Acorrentados,Stanley Kramer,Drama
Da terra nascem os homens,William Wyler,Western
Gata em teto de zinco quente,Richard Brooks,Drama
Gigi,Vincente Minnelli,Musical
O vampiro da noite,Terence Fisher,Terror
O velho e o mar,John Sturges,Drama
Teorema,Pier Paolo Pasolini,Drama
Um corpo que cai,Alfred Hitchcok,Suspense
12 homens e uma sentença,Sidney Lumet,Drama
A ponte do Rio Kwai,David Lean,Guerra
A um passo da eternidade,Fred Zinnemann,Guerra
Glória feita de sangue,Stanley Kubrick,Guerra
Morangos silvestres,Ingmar Bergman,Drama
Noites de Cabíria,Federico Fellini,Drama
Plano nove do espaço sideral,Edward Wood,Ficção
Testemunha de acusação,Billy Wilder,Drama
Trono manchado de sangue,Akira Kurosawa,Drama
A trágica farsa,Mark Robson,Suspense
A Volta ao Mundo em 80 Dias,Michael Anderson,Aventura
Johnny Guitar,Nicholas Ray,Western
Moby Dick,John Huston,Drama
O grande golpe,Stanley Kubrick,Suspense
O sétimo selo,Ingmar Bergman,Drama
Os dez mandamentos,Cecil B. DeMille,Drama
Rastros de ódio,John Ford,Western
Vampiros de almas,Don Siegel,Ficção
A palavra,Carl Theodor Dreyer,Drama
As diabólicas,Henri-Georges Clouzot,Suspense
Horas de desespero,William Wyler,Drama
Ladrão de casca,Alfred Hitchcok,Suspense
Marty,Delbert Man,Drama
O mensageiro do diabo,Charles Laughton,Drama
O pecado mora ao lado,Billy Wilder,Comédia
Rififi,Jules Dassin,Policial
Rio 40 graus,Nelson Pereira dos Santos,Drama
Vidas amargas,Elia Kazan,Drama
Disque M para matar,Alfred Hitchcok,Suspense
Janela indiscreta,Alfred Hitchcok,Suspense
O manto sagrado,Henry Koster,Drama
O monstro da lagoa negra,Jack Arnold,Terror
Os sete samurais,Akira Kurosawa,Drama
Sabrina,Billy Wilder,Comédia
Sete noivas para sete irmãos,Stanley Donen,Musical
Sindicato de ladrões,Elia Kazan,Drama
A canção de Bernadete,Henry King,Drama
A princesa e o plebeu,William Wyler,Comédia
As Aventuras de Tom Jones,Tony Richardson,Aventura
Era uma vez em Tóquio,Kiarostami Ozu,Drama
O inferno número 17,Billy Wilder,Guerra
O salário do medo,Henri-Georges Clouzot,Drama
O tesouro do condor de ouro,Delmer Daves,Aventura
Os brutos também amam,George Stevens,Western
Depois do Vendaval,John Ford,Drama
Matar ou morrer,Fred Zinnemann,Western
O Maior Espetáculo da Terra,Cecil B. DeMille,Drama
Scaramouche,George Sidney,Aventura
Viver,Akira Kurosawa,Drama
A montanha dos sete abutres,Billy Wilder,Drama
Cantando na chuva,Gene Kelly e Stanley Donen,Musical
O dia em que a terra parou,Robert Wise,Ficção
O monstro do Ártico,Howard Hawks,Drama
Pacto sinistro,Alfred Hitchcok,Suspense
Sinfonia de Paris,Vincente Minnelli,Musical
Um americano em Paris,Vincente Minnelli,Musical
Um lugar ao sol,George Stevens,Drama
Uma aventura na África,John Huston,Drama
Uma rua chamada pecado,Elia Kazan,Drama
A grande ilusão,Robert Rossen,Drama
A malvada,Joseph Mankiewicz,Drama
Crepúsculo dos deuses,Billy Wilder,Drama
Os esquecidos,Luis Bunuel,Drama
Rashomon,Akira Kurosawa,Drama
Stromboli,Roberto Rosselini,Drama
O 3º Homem,Carol Reed,Drama
O terceiro homem,Carol Reed,Suspense
Hamlet,Laurence Olivier,Drama
Johnny Belinda,Jean Negulesco,Drama
Ladrões de Bicicletas,Vitorio de Sica,Drama
O tesouro de Sierra Madre,John Huston,Western
Os três mosqueteiros,George Sidney,Aventura
A Luz É Para Todos,Elia Kazan,Drama
O beijo da morte,Henry Hathaway,Drama
Paula,Richard Wallace,Drama
À beira do abismo,Howard Hawks,Drama
A Felicidade não se compra,Frank Capra,Drama
Gilda,Charles Vidor,Drama
Interlúdio,Alfred Hitchcok,Drama
O destino bate à sua porta 1946,Tay Garnett,Drama
Os assassinos,Robert Siodmack,Policial
Os melhores anos de nossas vidas,William Wyler,Drama
Boulevard do crime,Marcel Carné,Drama
Farrapo Humano,Billy Wilder,Drama
"Roma, cidade aberta",Roberto Rosselini,Drama
Ivan o terrível,Sergei Eisenstein,Drama
Laura,Otto Preminger,Drama
O Bom Pastor,Leo McCarey,Musical
Pacto de sangue,Billy Wilder,Drama
A sombra de uma dúvida,Alfred Hitchcok,Suspense
Casablanca,Michael Curtiz,Drama
Rosa de Esperança,William Wyler,Guerra
Sangue de pantera,Jaques Torneus,Suspense
Ser ou não ser,Ernst Lubitsch,Comédia
Cidadão Kane,Orson Welles,Drama
Como Era Verde o Meu Vale,John Ford,Drama
Contrastes humanos,Preston Sturges,Drama
O lobisomem,George Waggner,Terror
O segredo do pântano,Jean Renoir,Drama
Relíquia macabra,John Huston,Policial
Sargento York,Howard Hawks,Guerra
A canção da vitória,Michael Curtiz,Musical
Fantasia,James Algar e outros,Animação
Jejum de amor,Howard Hawks,Comédia
Núpcias de escândalo,George Cukor,Comédia
O grande ditador,Charles Chaplin,Comédia
Rebecca: A Mulher Inesquecível,Alfred Hitchcok,Drama
Vinhas da ira,John Ford,Drama
...E o Vento Levou,Victor Fleming,Drama
A mulher faz o homem,Frank Capra,Drama
A regra do jogo,Jean Renoir,Drama
No tempo das diligências,John Ford,Western
O mágico de Oz,Victor Fleming,Musical
O morro dos ventos uivantes,William Wyler,Drama
Tempos modernos,Charles Chaplin,Comédia
Anjos de cara suja,Micael Curtiz,Drama
As aventuras de Robin Hood,Michael Curtiz,Aventura
Do mundo nada se leva,Frank Capra,Drama
Jezebel,William Wyler,Drama
Levada da breca,Howard Hawks,Comédia
Branca de Neve e os sete anões,David Hand,Animação
Émile Zola,William Dieterle,Drama
A dama das camélias,George Cukor,Drama
Fogo de outono,William Wyler,Drama
O galante Mister Deeds,Frank Capra,Comédia
Ritmo Louco,George Stevens,Musical
Triunfo da vontade,Leni Riefenstahl,Documentário
Ziegfeld - O Criador de Estrelas,Robert Z. Leonard,Musical
A noiva de Frankenstein,Peter Whale,Terror
Capitão Blood,Michael Curtiz,Aventura
O grande motim 1935,Frank Lloyd,Drama
Uma noite na ópera,Sam Wood,Comédia
Aconteceu naquela noite,Frank Capra,Comédia
O atalante,Jean Vigo,Drama
Scarface a vergonha de uma nação,Howard Hawks,Drama
Diabo a quatro,Leo McCarey,Comédia
King Kong,Merian C. Cooper e Ernest B. Schoedsack,Ficção
Rainha Cristina,Rouben Mamoulian,Drama
39 degraus,Alfred Hitchcok,Suspense
A múmia,Karl Freund,Terror
Cavalgada,Frank Lloyd,Drama
Grande Hotel,Edmund Goulding,Drama
Cimarron,Wesley Ruggles,Western
Drácula,Tod Browning,Terror
Luzes da cidade,Charles Chaplin,Comédia
"M, O Vampiro de Dusseldorf",Fritz Lang,Drama
Frankenstein,James Whale,Terror
Sem novidades no front,Lewis Milestone,Guerra
Melodia na Broadway,Harry Beaumont,Musical
O circo,Charles Chaplin,Comédia
O Martírio de Joana D'Arc,Carl Theodor Dreyer,Drama
A general,Buster Keaton,Comédia
Asas,William A. Wellman,Guerra
Aurora,F.W. Murnau,Drama
Encouraçado Potemkin,Sergei Eisenstein,Guerra
Bancando águia,Buster Keaton,Comédia
Em busca do ouro,Charles Chaplin,Comédia
Metrópolis,Fritz Lang,Ficção
O Garoto,Charles Chaplin,Comédia
O gabinete do doutor Caligari,Robert Wiene,Terror
Intolerância,D.W. Griffith,Drama
O nascimento de uma nação,D.W. Griffith,Drama
#VALUE!,,